^,1,a1w,Do you have your own clothes?,
a,,0,Yes,
b,,1,No,
^,1,a1x,How much clothes do you have at home?,
a,,0,I do not have enough clothes.,
a,,1,I have enough clothes.,
b,,2,I have a lot of clothes.,
b,,3,I do not have clothes.,
^,1,a1y,Do you have your own shoes?,
a,,0,Yes,
b,,1,No,
^,1,a1z,How much shoes do you have at home?,
a,,0,I do not have enough shoes.,
a,,1,I have enough shoes.,
b,,2,I have a lot of shoes.,
b,,3,I do not have shoes.,
^,1,a2a,Do you have food at home?,
a,,0,I do not have enough food at home.,
a,,1,I have enough food at home.,
b,,2,I have a lot of food at home.,
b,,3,I do not have food at home.,
^,1,a2b,Do you have toys at home?,
a,,0,Yes,
b,,1,No,
^,8,a2c,What do you have at home?,
a,,0,Internet,
a,,1,Pet/s,
b,,2,Smartphone/s,
b,,3,Computer/s,
a,,4,Tablet/s,
a,,5,TV/s,
b,,6,Car/s,
b,,7,Refrigerator/s,
^,0,a2d,H. Freedom of Choice,
^,1,a2e,Do you spend your weekends doing what you want?,
,,0,I never get the chance to do what I want on weekends.,
,,1,I seldom get the chance to do what I want on weekends.,
,,2,I usually do what I want on weekends.,
,,3,I always do what I want on weekends.,
^,1,a2f,How much time do you get to play with your gadgets/ toys?,
,,0,I never have the time to play with my gadgets/toys.,
,,1,1 to 4 hours.,
,,2,4 to 8 hours.,
,,3,More than half the day.,
^,1,a2g,Did you get a say when choosing where you were gonna go to school?,
,,0,I just attended what school my parents picked.,
,,1,I was informed of what my school would be beforehand.,
,,2,My parents asked me if I liked to go to the school they picked.,
,,3,My parents asked me what school I wanted to enter.,
^,0,a2h,G. Personal,
^,1,a2i,What kind of activities do you enjoy?,
,,0,Sports-related,
,,1,"Performance-related (dancing, singing, acting)",
,,2,"Arts-related (drawing, painting)",
,,3,"School-related (doing homework, studying)",
"^
",1,a2j,How many times in a month do you get to do these activities?,
,,0,Once a month.,
,,1,Every two weeks,
,,2,Every week,
,,3,Every day,
^,0,a2k,F. Your School,
^,1,a2l,I like going to school.,
,,0,I don’t like going to school.,
,,1,I usually don’t like going to school.,
,,2,I sometimes like going to school.,
,,3,I usually like going to school.,
,,4,I like going to school.,
^,1,a2m,I like my teachers.,
,,0,I don’t like any of my teachers.,
,,1,I like a few of my teachers.,
,,2,I like some of my teachers.,
,,3,I like most of my teachers.,
,,4,I like all of my teachers.,
^,1,a2n,I like my classmates.,
,,0,I don’t like any of my classmates.,
,,1,I like a few of my classmates.,
,,2,I like some of my classmates.,
,,3,I like most of my classmates.,
,,4,I like all of my classmates.,
^,1,a2o,I enjoy doing schoolwork.,
,,0,I don’t enjoy school work at all.,
,,1,I usually don’t enjoy school work.,
,,2,I sometimes enjoy school work.,
,,3,I usually enjoy school work.,
,,4,I always enjoy school work.,
^,0,a2p,E. Your Friends,
^,1,a2q,Do you have friends?,
,,0,I don’t have any friends,
,,1,I have a few friends (1-3 people),
,,2,I have some friends. (4-6people),
,,3,I have several friends. (7- 10 people),
,,4,I have a lot of friends. (more than 10),
^,1,a2r,Do you like your friends?,
,,0,I don’t like them.,
,,1,I usually don’t like my friends.,
,,2,I sometimes like my friends.,
,,3,I usually like my friends.,
,,4,I really like my friends,
^,1,a2s,Do you feel like your friends like you?,
,,0,I don’t think they like me at all.,
,,1,I think they usually don’t like me.,
,,2,I think sometimes they like me.,
,,3,I think they usually like me.,
,,4,I think they like me a lot.,
^,1,a2t,How often do you play or hang out with your friends?,
,,0,Everyday,
,,1,Weekdays,
,,2,Weekends,
,,3,I don’t play or hang out with my friends.,
